away,home,date
MIL,STL,2024-04-21
MIA,CHC,2024-04-21
SEA,COL,2024-04-21
ARI,SFG,2024-04-21
NYM,LAD,2024-04-21
TOR,SDP,2024-04-21
TEX,ATL,2024-04-21
OAK,NYY,2024-04-22
PHI,CIN,2024-04-22
MIL,PIT,2024-04-22
DET,TBR,2024-04-22
MIA,ATL,2024-04-22
TOR,KCR,2024-04-22
CHW,MIN,2024-04-22
ARI,STL,2024-04-22
SDP,COL,2024-04-22
BAL,LAA,2024-04-22
NYM,SFG,2024-04-22
BOS,CLE,2024-04-23
PHI,CIN,2024-04-23
MIL,PIT,2024-04-23
LAD,WSN,2024-04-23
DET,TBR,2024-04-23
OAK,NYY,2024-04-23
MIA,ATL,2024-04-23
HOU,CHC,2024-04-23
TOR,KCR,2024-04-23
CHW,MIN,2024-04-23
ARI,STL,2024-04-23
SEA,TEX,2024-04-23
SDP,COL,2024-04-23
BAL,LAA,2024-04-23
NYM,SFG,2024-04-23
ARI,STL,2024-04-24
NYM,SFG,2024-04-24
BAL,LAA,2024-04-24
BOS,CLE,2024-04-24
PHI,CIN,2024-04-24
MIL,PIT,2024-04-24
LAD,WSN,2024-04-24
DET,TBR,2024-04-24
OAK,NYY,2024-04-24
MIA,ATL,2024-04-24
HOU,CHC,2024-04-24
TOR,KCR,2024-04-24
CHW,MIN,2024-04-24
SEA,TEX,2024-04-24
SDP,COL,2024-04-24
MIL,PIT,2024-04-25
BOS,CLE,2024-04-25
PHI,CIN,2024-04-25
CHW,MIN,2024-04-25
TOR,KCR,2024-04-25
HOU,CHC,2024-04-25
SEA,TEX,2024-04-25
SDP,COL,2024-04-25
LAD,WSN,2024-04-25
OAK,NYY,2024-04-25
KCR,DET,2024-04-26
OAK,BAL,2024-04-26
LAD,TOR,2024-04-26
CHC,BOS,2024-04-26
STL,NYM,2024-04-26
WSN,MIA,2024-04-26
CLE,ATL,2024-04-26
TBR,CHW,2024-04-26
CIN,TEX,2024-04-26
NYY,MIL,2024-04-26
MIN,LAA,2024-04-26
ARI,SEA,2024-04-26
PHI,SDP,2024-04-26
PIT,SFG,2024-04-26
LAD,TOR,2024-04-27
OAK,BAL,2024-04-27
STL,NYM,2024-04-27
CIN,TEX,2024-04-27
CHC,BOS,2024-04-27
WSN,MIA,2024-04-27
HOU,COL,2024-04-27
KCR,DET,2024-04-27
TBR,CHW,2024-04-27
NYY,MIL,2024-04-27
CLE,ATL,2024-04-27
PHI,SDP,2024-04-27
PIT,SFG,2024-04-27
MIN,LAA,2024-04-27
ARI,SEA,2024-04-27
OAK,BAL,2024-04-28
CLE,ATL,2024-04-28
LAD,TOR,2024-04-28
KCR,DET,2024-04-28
STL,NYM,2024-04-28
WSN,MIA,2024-04-28
TBR,CHW,2024-04-28
NYY,MIL,2024-04-28
CIN,TEX,2024-04-28
HOU,COL,2024-04-28
PIT,SFG,2024-04-28
MIN,LAA,2024-04-28
ARI,SEA,2024-04-28
PHI,SDP,2024-04-28
CHC,BOS,2024-04-28
NYY,BAL,2024-04-29
STL,DET,2024-04-29
WSN,MIA,2024-04-29
KCR,TOR,2024-04-29
CHC,NYM,2024-04-29
MIN,CHW,2024-04-29
TBR,MIL,2024-04-29
PHI,LAA,2024-04-29
LAD,ARI,2024-04-29
PIT,OAK,2024-04-29
CIN,SDP,2024-04-29
ATL,SEA,2024-04-29
NYY,BAL,2024-04-30
STL,DET,2024-04-30
COL,MIA,2024-04-30
KCR,TOR,2024-04-30
CHC,NYM,2024-04-30
SFG,BOS,2024-04-30
MIN,CHW,2024-04-30
TBR,MIL,2024-04-30
WSN,TEX,2024-04-30
CLE,HOU,2024-04-30
PHI,LAA,2024-04-30
LAD,ARI,2024-04-30
PIT,OAK,2024-04-30
CIN,SDP,2024-04-30
ATL,SEA,2024-04-30
STL,DET,2024-05-01
TBR,MIL,2024-05-01
MIN,CHW,2024-05-01
KCR,TOR,2024-05-01
PIT,OAK,2024-05-01
ATL,SEA,2024-05-01
PHI,LAA,2024-05-01
CIN,SDP,2024-05-01
NYY,BAL,2024-05-01
COL,MIA,2024-05-01
CHC,NYM,2024-05-01
SFG,BOS,2024-05-01
WSN,TEX,2024-05-01
CLE,HOU,2024-05-01
LAD,ARI,2024-05-01
COL,MIA,2024-05-02
NYY,BAL,2024-05-02
CHC,NYM,2024-05-02
SFG,BOS,2024-05-02
WSN,TEX,2024-05-02
CLE,HOU,2024-05-02
MIL,CHC,2024-05-03
BAL,CIN,2024-05-03
COL,PIT,2024-05-03
SFG,PHI,2024-05-03
TOR,WSN,2024-05-03
NYM,TBR,2024-05-03
DET,NYY,2024-05-03
LAA,CLE,2024-05-03
TEX,KCR,2024-05-03
SEA,HOU,2024-05-03
BOS,MIN,2024-05-03
CHW,STL,2024-05-03
