player,year,age,team,league,war,wins,losses,win_loss_percentage,earned_run_average,games,games_started,games_finished,complete_games,shoutouts,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_by_pitch,balks,wild_pitches,batters_faced,era_plus,fip,whip,hits_per9,home_runs_per9,walks_per9,strikeouts_per9,strikeout_walk_ratio
Grant Anderson,2024,27,TEX,AL,-1.1,0,1,0.0,8.1,23,0,10,0,0,1,26.2,33,24,24,11,10,3,29,1,0,0,120,48.0,7.59,1.613,11.1,3.7,3.4,9.8,2.9
Aaron Brooks,2024,34,OAK,AL,-0.2,0,2,0.0,5.06,5,4,1,0,0,0,26.2,33,19,15,4,8,0,12,1,0,0,119,79.0,5.23,1.538,11.1,1.4,2.7,4.1,1.5
Chris Devenski,2024,33,TBR,AL,-0.8,2,1,0.667,6.75,19,0,4,0,0,0,26.2,28,25,20,9,14,0,24,0,0,1,122,60.0,7.33,1.575,9.5,3.0,4.7,8.1,1.71
Ethan Roberts,2024,26,CHC,NL,0.2,1,1,0.5,3.71,21,0,6,0,0,0,26.2,31,11,11,3,10,0,26,1,0,1,118,109.0,3.92,1.538,10.5,1.0,3.4,8.8,2.6
Gerson Garabito,2024,28,TEX,AL,-0.1,0,2,0.0,4.78,18,2,10,0,0,0,26.1,23,15,14,4,12,0,22,4,0,1,115,82.0,5.29,1.329,7.9,1.4,4.1,7.5,1.83
Jay Jackson,2024,36,MIN,AL,-0.6,1,2,0.333,7.52,20,0,10,0,0,0,26.1,28,24,22,7,9,0,29,0,0,0,114,56.0,5.44,1.405,9.6,2.4,3.1,9.9,3.22
Bryan King*,2024,27,HOU,AL,0.6,1,0,1.0,2.39,28,0,7,0,0,0,26.1,20,7,7,1,10,0,32,3,0,0,109,169.0,2.71,1.139,6.8,0.3,3.4,10.9,3.2
Gus Varland,2024,27,2TM,2LG,0.3,1,0,1.0,3.42,26,0,7,0,0,0,26.1,30,12,10,2,8,1,27,1,0,2,115,123.0,3.13,1.443,10.3,0.7,2.7,9.2,3.38
Gus Varland,2024,27,LAD,NL,0.0,0,0,,3.0,7,0,2,0,0,0,6.0,7,3,2,1,4,0,3,1,0,0,30,141.0,6.83,1.833,10.5,1.5,6.0,4.5,0.75
Gus Varland,2024,27,CHW,AL,0.3,1,0,1.0,3.54,19,0,5,0,0,0,20.1,23,9,8,1,4,1,24,0,0,2,85,119.0,2.03,1.328,10.2,0.4,1.8,10.6,6.0
Luke Little*,2024,23,CHC,NL,0.3,3,1,0.75,3.46,30,1,7,0,0,0,26.0,15,11,10,1,18,1,28,4,0,3,109,116.0,4.05,1.269,5.2,0.3,6.2,9.7,1.56
Yunior Marté,2024,29,PHI,NL,-0.7,0,0,,6.92,23,0,5,0,0,0,26.0,34,22,20,5,15,0,23,0,0,3,127,62.0,5.63,1.885,11.8,1.7,5.2,8.0,1.53
Dany Jiménez,2024,30,OAK,AL,-0.3,1,3,0.25,4.91,25,0,9,0,0,1,25.2,21,18,14,6,19,0,25,1,0,0,117,81.0,6.59,1.558,7.4,2.1,6.7,8.8,1.32
Hans Crouse,2024,25,LAA,AL,0.5,4,3,0.571,2.84,25,0,5,0,0,0,25.1,14,10,8,2,17,1,34,2,0,1,107,149.0,3.76,1.224,5.0,0.7,6.0,12.1,2.0
J.P. France,2024,29,HOU,AL,-0.5,0,3,0.0,7.46,5,5,0,0,0,0,25.1,31,21,21,5,12,0,22,1,1,3,121,54.0,5.53,1.697,11.0,1.8,4.3,7.8,1.83
Kaleb Ort,2024,32,HOU,AL,0.5,1,1,0.5,2.55,22,0,6,0,0,0,24.2,16,7,7,7,4,0,26,0,0,1,93,158.0,5.23,0.811,5.8,2.6,1.5,9.5,6.5
Adam Cimber,2024,33,LAA,AL,-0.7,3,0,1.0,7.03,28,0,2,0,0,0,24.1,20,19,19,1,14,2,19,6,0,1,107,60.0,4.6,1.397,7.4,0.4,5.2,7.0,1.36
Alek Manoah,2024,26,TOR,AL,-0.4,1,2,0.333,3.7,5,5,0,0,0,0,24.1,17,16,10,5,8,0,26,4,0,1,103,113.0,5.18,1.027,6.3,1.8,3.0,9.6,3.25
Cody Poteet,2024,29,NYY,AL,0.9,3,0,1.0,2.22,5,4,0,0,0,0,24.1,18,7,6,2,8,0,16,1,0,1,96,184.0,4.03,1.068,6.7,0.7,3.0,5.9,2.0
Josh Staumont,2024,30,MIN,AL,0.2,1,0,1.0,3.7,25,0,12,0,0,0,24.1,17,12,10,0,14,0,18,1,0,1,102,115.0,3.54,1.274,6.3,0.0,5.2,6.7,1.29
Fraser Ellard*,2024,26,CHW,AL,0.2,2,3,0.4,3.75,25,0,2,0,0,1,24.0,18,12,10,3,12,3,26,1,0,5,101,112.0,4.25,1.25,6.8,1.1,4.5,9.8,2.17
Kenny Rosenberg*,2024,28,LAA,AL,-0.3,0,1,0.0,6.0,7,1,3,0,0,0,24.0,28,17,16,5,8,1,17,0,0,2,104,71.0,5.46,1.5,10.5,1.9,3.0,6.4,2.13
Sam Hentges*,2024,27,CLE,AL,0.4,0,0,,3.04,25,0,4,0,0,0,23.2,18,8,8,3,5,0,27,0,0,0,91,134.0,3.17,0.972,6.8,1.1,1.9,10.3,5.4
Gabe Speier*,2024,29,SEA,AL,-0.5,0,2,0.0,5.7,29,0,3,0,0,0,23.2,19,15,15,2,14,1,33,2,0,1,104,66.0,3.5,1.394,7.2,0.8,5.3,12.5,2.36
Matt Festa,2024,31,2TM,2LG,-0.8,6,1,0.857,5.7,19,0,4,0,0,0,23.2,21,18,15,2,8,1,24,1,0,0,100,70.0,3.38,1.225,8.0,0.8,3.0,9.1,3.0
Matt Festa,2024,31,NYM,NL,-0.7,0,1,0.0,36.0,1,0,1,0,0,0,1.0,4,5,4,0,1,1,1,0,0,0,8,15.0,4.17,5.0,36.0,0.0,9.0,9.0,1.0
Matt Festa,2024,31,TEX,AL,-0.1,6,0,1.0,4.37,18,0,3,0,0,0,22.2,17,13,11,2,7,0,23,1,0,0,92,90.0,3.34,1.059,6.8,0.8,2.8,9.1,3.29
Mitch White,2024,29,3TM,2LG,-0.6,1,1,0.5,7.23,13,0,9,0,0,0,23.2,26,21,19,4,13,2,13,1,0,1,110,59.0,6.04,1.648,9.9,1.5,4.9,4.9,1.0
Mitch White,2024,29,2TM,NL,-0.5,0,1,0.0,8.56,9,0,7,0,0,0,13.2,16,15,13,3,9,2,7,1,0,1,68,49.0,7.19,1.829,10.5,2.0,5.9,4.6,0.78
Mitch White,2024,29,TOR,AL,-0.1,1,0,1.0,5.4,4,0,2,0,0,0,10.0,10,6,6,1,4,0,6,0,0,0,42,79.0,4.47,1.4,9.0,0.9,3.6,5.4,1.5
Mitch White,2024,29,SFG,NL,-0.2,0,0,,11.81,3,0,2,0,0,0,5.1,8,7,7,1,5,0,1,0,0,1,29,35.0,8.04,2.438,13.5,1.7,8.4,1.7,0.2
Mitch White,2024,29,MIL,NL,-0.3,0,1,0.0,6.48,6,0,5,0,0,0,8.1,8,8,6,2,4,2,6,1,0,0,39,65.0,6.65,1.44,8.6,2.2,4.3,6.5,1.5
Bryan Baker,2024,29,BAL,AL,-0.1,1,1,0.5,5.01,19,0,4,0,0,0,23.1,20,14,13,3,7,0,23,0,0,0,93,77.0,3.77,1.157,7.7,1.2,2.7,8.9,3.29
Victor González*,2024,28,NYY,AL,0.1,2,1,0.667,3.86,27,0,8,0,0,2,23.1,13,12,10,3,13,0,11,3,0,0,97,106.0,5.95,1.114,5.0,1.2,5.0,4.2,0.85
Ron Marinaccio,2024,28,NYY,AL,0.2,1,0,1.0,3.86,16,0,4,0,0,0,23.1,18,11,10,4,10,0,25,3,1,0,99,106.0,4.92,1.2,6.9,1.5,3.9,9.6,2.5
Ty Madden,2024,24,DET,AL,-0.1,1,1,0.5,4.3,6,1,0,0,0,0,23.0,25,12,11,2,8,0,17,1,0,0,101,96.0,3.99,1.435,9.8,0.8,3.1,6.7,2.13
Michael McGreevy,2024,23,STL,NL,0.9,3,0,1.0,1.96,4,3,1,0,0,0,23.0,16,5,5,1,2,0,18,1,0,0,86,215.0,2.56,0.783,6.3,0.4,0.8,7.0,9.0
Touki Toussaint,2024,28,CHW,AL,-0.3,1,2,0.333,7.43,11,0,2,0,0,0,23.0,35,19,19,3,18,0,26,1,0,1,117,57.0,5.08,2.304,13.7,1.2,7.0,10.2,1.44
Will Warren,2024,25,NYY,AL,-1.2,0,3,0.0,10.32,6,5,1,0,0,0,22.2,33,27,26,5,10,0,29,1,2,0,110,40.0,4.93,1.897,13.1,2.0,4.0,11.5,2.9
Brady Basso*,2024,26,OAK,AL,0.3,1,1,0.5,4.03,7,4,2,0,0,0,22.1,23,10,10,3,5,0,19,0,0,1,93,99.0,3.88,1.254,9.3,1.2,2.0,7.7,3.8
Ray Kerr*,2024,29,ATL,NL,-0.1,1,2,0.333,5.64,10,2,3,0,0,0,22.1,29,14,14,4,7,0,27,3,0,2,103,75.0,4.42,1.612,11.7,1.6,2.8,10.9,3.86
Tommy Nance,2024,33,TOR,AL,-0.2,0,3,0.0,4.09,20,0,6,0,0,0,22.0,18,12,10,2,9,2,19,1,0,2,93,102.0,3.98,1.227,7.4,0.8,3.7,7.8,2.11
Mason Englert,2024,24,DET,AL,-0.3,1,0,1.0,5.4,12,1,5,0,0,0,21.2,23,15,13,4,5,1,16,1,0,2,93,76.0,4.92,1.292,9.6,1.7,2.1,6.6,3.2
Sean Reid-Foley,2024,28,NYM,NL,0.2,1,2,0.333,1.66,23,0,9,0,0,0,21.2,13,10,4,0,14,0,25,0,0,1,90,236.0,2.8,1.246,5.4,0.0,5.8,10.4,1.79
Devin Williams,2024,29,MIL,NL,1.4,1,0,1.0,1.25,22,0,19,0,0,14,21.2,10,3,3,1,11,1,38,2,0,1,88,331.0,2.06,0.969,4.2,0.4,4.6,15.8,3.45
Enoli Paredes,2024,28,2TM,NL,0.7,1,0,1.0,1.66,18,0,9,0,0,1,21.2,13,4,4,0,10,0,16,2,0,2,87,252.0,3.35,1.062,5.4,0.0,4.2,6.6,1.6
Enoli Paredes,2024,28,MIL,NL,0.6,1,0,1.0,1.74,17,0,8,0,0,1,20.2,13,4,4,0,10,0,14,2,0,2,84,237.0,3.55,1.113,5.7,0.0,4.4,6.1,1.4
Enoli Paredes,2024,28,CHC,NL,0.0,0,0,,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,2,0,0,0,3,,-0.83,0.0,0.0,0.0,0.0,18.0,
Yerry Rodríguez,2024,26,2TM,AL,-0.7,1,0,1.0,8.72,16,0,6,0,0,0,21.2,26,22,21,7,13,1,17,2,0,2,105,46.0,7.87,1.8,10.8,2.9,5.4,7.1,1.31
Yerry Rodríguez,2024,26,TEX,AL,-0.4,1,0,1.0,6.88,12,0,4,0,0,0,17.0,16,13,13,5,11,1,12,1,0,2,78,57.0,7.7,1.588,8.5,2.6,5.8,6.4,1.09
Yerry Rodríguez,2024,26,TOR,AL,-0.4,0,0,,15.43,4,0,2,0,0,0,4.2,10,9,8,2,2,0,5,1,0,0,27,29.0,8.52,2.571,19.3,3.9,3.9,9.6,2.5
Sean Guenther*,2024,28,DET,AL,1.0,3,0,1.0,0.86,17,0,4,0,0,0,21.0,9,2,2,0,2,0,12,2,0,0,73,482.0,2.59,0.524,3.9,0.0,0.9,5.1,6.0
Colten Brewer,2024,31,CHC,NL,-0.6,0,0,,5.66,16,0,8,0,0,1,20.2,24,16,13,1,9,0,22,1,0,1,95,71.0,3.12,1.597,10.5,0.4,3.9,9.6,2.44
Richard Fitts,2024,24,BOS,AL,0.6,0,1,0.0,1.74,4,4,0,0,0,0,20.2,19,6,4,0,7,0,9,0,0,1,85,244.0,3.31,1.258,8.3,0.0,3.0,3.9,1.29
Giovanny Gallegos,2024,32,STL,NL,-0.3,2,1,0.667,6.53,21,0,6,0,0,1,20.2,24,15,15,6,10,0,21,0,0,1,94,64.0,6.36,1.645,10.5,2.6,4.4,9.1,2.1
Domingo Germán,2024,31,PIT,NL,-0.5,0,1,0.0,7.84,7,2,3,0,0,0,20.2,25,19,18,4,13,1,18,2,1,2,100,55.0,6.12,1.839,10.9,1.7,5.7,7.8,1.38
John Means*,2024,31,BAL,AL,0.7,2,0,1.0,2.61,4,4,0,0,0,0,20.2,16,6,6,2,2,0,16,1,0,0,80,149.0,3.31,0.871,7.0,0.9,0.9,7.0,8.0
Emmanuel Ramírez,2024,29,MIA,NL,-0.3,0,1,0.0,6.97,15,0,2,0,0,0,20.2,21,17,16,3,8,0,21,3,0,2,92,63.0,4.62,1.403,9.1,1.3,3.5,9.1,2.63
Erasmo Ramírez,2024,34,TBR,AL,-0.2,3,0,1.0,4.35,13,0,10,0,0,1,20.2,12,12,10,5,10,1,15,1,0,2,85,93.0,6.46,1.065,5.2,2.2,4.4,6.5,1.5
Ryder Ryan,2024,29,PIT,NL,-0.2,1,0,1.0,5.66,15,0,5,0,0,0,20.2,21,14,13,2,9,0,17,3,0,0,93,76.0,4.52,1.452,9.1,0.9,3.9,7.4,1.89
Scott Blewett,2024,28,MIN,AL,0.8,1,1,0.5,1.77,12,0,4,0,0,0,20.1,17,5,4,2,8,2,18,1,0,0,85,240.0,4.0,1.23,7.5,0.9,3.5,8.0,2.25
Noah Davis,2024,27,COL,NL,-0.2,0,0,,5.75,9,0,2,0,0,0,20.1,31,15,13,3,7,0,15,0,0,0,96,82.0,4.64,1.869,13.7,1.3,3.1,6.6,2.14
River Ryan,2024,25,LAD,NL,0.7,1,0,1.0,1.33,4,4,0,0,0,0,20.1,15,4,3,1,9,0,18,0,0,0,81,305.0,3.36,1.18,6.6,0.4,4.0,8.0,2.0
Jeff Criswell,2024,25,COL,NL,0.6,1,0,1.0,2.75,13,0,1,0,0,0,19.2,20,6,6,4,9,0,27,1,0,0,87,172.0,4.59,1.475,9.2,1.8,4.1,12.4,3.0
Michael Petersen,2024,30,2TM,NL,-0.3,3,1,0.75,5.95,16,0,5,0,0,0,19.2,21,14,13,3,11,1,14,1,1,0,90,71.0,5.56,1.627,9.6,1.4,5.0,6.4,1.27
Michael Petersen,2024,30,LAD,NL,-0.3,3,0,1.0,6.43,11,0,3,0,0,0,14.0,14,10,10,3,8,0,11,1,1,0,64,64.0,6.31,1.571,9.0,1.9,5.1,7.1,1.38
Michael Petersen,2024,30,MIA,NL,0.0,0,1,0.0,4.76,5,0,2,0,0,0,5.2,7,4,3,0,3,1,3,0,0,0,26,96.0,3.7,1.765,11.1,0.0,4.8,4.8,1.0
Ronny Henriquez,2024,24,MIN,AL,0.3,1,1,0.5,3.26,16,1,6,0,0,0,19.1,20,8,7,2,5,1,15,2,0,1,82,131.0,4.05,1.293,9.3,0.9,2.3,7.0,3.0
José Marte,2024,28,LAA,AL,0.5,0,0,,2.33,14,0,3,0,0,0,19.1,14,6,5,1,10,0,14,1,0,2,80,183.0,4.1,1.241,6.5,0.5,4.7,6.5,1.4
José Quijada*,2024,28,LAA,AL,0.3,2,2,0.5,3.26,22,0,5,0,0,0,19.1,12,9,7,1,17,0,24,2,1,0,84,131.0,4.3,1.5,5.6,0.5,7.9,11.2,1.41
Troy Taylor,2024,22,SEA,AL,0.1,0,0,,3.72,21,0,8,0,0,1,19.1,15,8,8,4,7,0,25,0,0,2,81,101.0,4.36,1.138,7.0,1.9,3.3,11.6,3.57
Prelander Berroa,2024,24,CHW,AL,0.4,1,0,1.0,3.32,17,0,3,0,0,0,19.0,15,7,7,2,13,1,26,1,0,0,83,127.0,4.01,1.474,7.1,0.9,6.2,12.3,2.0
Sean Burke,2024,24,CHW,AL,0.9,2,0,1.0,1.42,4,3,1,0,0,0,19.0,12,4,3,2,7,0,22,0,0,1,76,297.0,3.32,1.0,5.7,0.9,3.3,10.4,3.14
Dominic Leone,2024,32,CHW,AL,-0.7,0,2,0.0,6.63,23,0,4,0,0,0,19.0,20,17,14,4,14,1,17,0,0,2,89,64.0,6.32,1.789,9.5,1.9,6.6,8.1,1.21
Anthony Maldonado,2024,26,MIA,NL,0.2,1,1,0.5,5.68,16,1,6,0,0,1,19.0,21,12,12,1,7,3,11,0,0,1,82,77.0,3.8,1.474,9.9,0.5,3.3,5.2,1.57
Cody Bolton,2024,26,SEA,AL,-0.1,0,0,,4.34,17,0,5,0,0,0,18.2,18,11,9,3,9,0,17,0,0,0,83,87.0,4.88,1.446,8.7,1.4,4.3,8.2,1.89
Alex Lange,2024,28,DET,AL,-0.6,0,3,0.0,4.34,21,0,10,0,0,2,18.2,16,16,9,0,17,0,21,2,0,4,90,95.0,3.97,1.768,7.7,0.0,8.2,10.1,1.24
Blake Walston*,2024,23,ARI,NL,-0.1,1,0,1.0,4.42,7,2,3,0,0,0,18.1,16,12,9,4,10,0,18,3,0,0,83,96.0,6.17,1.418,7.9,2.0,4.9,8.8,1.8
Garrett Whitlock,2024,28,BOS,AL,0.8,1,0,1.0,1.96,4,4,0,0,0,0,18.1,14,4,4,1,7,0,17,1,0,0,75,217.0,3.33,1.145,6.9,0.5,3.4,8.3,2.43
Daysbel Hernández,2024,27,ATL,NL,0.4,3,0,1.0,2.5,16,0,6,0,0,0,18.0,10,6,5,0,10,1,26,1,0,1,74,171.0,2.11,1.111,5.0,0.0,5.0,13.0,2.6
Bailey Horn*,2024,26,BOS,AL,-0.3,1,1,0.5,6.5,18,0,3,0,0,0,18.0,22,14,13,5,10,2,13,0,0,0,88,66.0,7.0,1.778,11.0,2.5,5.0,6.5,1.3
Walter Pennington*,2024,26,2TM,AL,0.2,1,0,1.0,3.0,16,1,3,0,0,0,18.0,19,7,6,1,11,0,17,2,0,1,84,135.0,4.17,1.667,9.5,0.5,5.5,8.5,1.55
Walter Pennington*,2024,26,KCR,AL,0.0,0,0,,0.0,1,0,1,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,2,,0.17,0.0,0.0,0.0,0.0,13.5,
Walter Pennington*,2024,26,TEX,AL,0.2,1,0,1.0,3.12,15,1,2,0,0,0,17.1,19,7,6,1,11,0,16,2,0,1,82,127.0,4.32,1.731,9.9,0.5,5.7,8.3,1.45
Ky Bush*,2024,24,CHW,AL,0.1,0,3,0.0,5.6,4,4,0,0,0,0,17.2,20,11,11,2,16,1,11,1,0,2,87,75.0,6.28,2.038,10.2,1.0,8.2,5.6,0.69
Kent Emanuel*,2024,32,MIA,NL,-0.3,0,0,,6.62,12,0,4,0,0,0,17.2,20,14,13,4,7,0,12,3,0,0,82,66.0,6.45,1.528,10.2,2.0,3.6,6.1,1.71
Brandon Hughes*,2024,28,ARI,NL,-0.4,0,0,,8.15,15,2,4,0,0,0,17.2,24,16,16,8,10,0,21,2,0,1,89,52.0,8.71,1.925,12.2,4.1,5.1,10.7,2.1
Joe La Sorsa*,2024,26,WSN,NL,0.1,0,0,,4.58,16,0,6,0,0,0,17.2,17,9,9,4,5,1,14,1,0,0,74,89.0,5.54,1.245,8.7,2.0,2.5,7.1,2.8
Drew Smith,2024,30,NYM,NL,0.2,1,1,0.5,3.06,19,0,4,0,0,2,17.2,18,7,6,2,9,0,23,0,0,3,79,129.0,3.56,1.528,9.2,1.0,4.6,11.7,2.56
Guillo Zuñiga,2024,25,LAA,AL,-0.1,0,0,,5.09,15,0,6,0,0,2,17.2,16,10,10,5,8,2,12,1,0,1,76,84.0,7.02,1.358,8.2,2.5,4.1,6.1,1.5
Adbert Alzolay,2024,29,CHC,NL,-0.6,1,4,0.2,4.67,18,0,11,0,0,4,17.1,19,13,9,6,6,0,13,1,0,0,75,87.0,7.38,1.442,9.9,3.1,3.1,6.8,2.17
Cole Winn,2024,24,TEX,AL,-0.5,0,1,0.0,7.79,13,0,8,0,0,0,17.1,18,15,15,2,4,0,14,3,0,1,77,51.0,4.26,1.269,9.3,1.0,2.1,7.3,3.5
Hunter Bigge,2024,26,2TM,2LG,0.4,0,0,,2.6,19,1,11,0,0,1,17.1,17,5,5,2,5,0,24,0,0,2,73,160.0,2.76,1.269,8.8,1.0,2.6,12.5,4.8
Hunter Bigge,2024,26,CHC,NL,0.1,0,0,,2.7,4,0,2,0,0,0,3.1,3,1,1,0,2,0,5,0,0,0,15,164.0,1.97,1.5,8.1,0.0,5.4,13.5,2.5
Hunter Bigge,2024,26,TBR,AL,0.3,0,0,,2.57,15,1,9,0,0,1,14.0,14,4,4,2,3,0,19,0,0,2,58,159.0,2.95,1.214,9.0,1.3,1.9,12.2,6.33
Zack Thompson*,2024,26,STL,NL,-0.7,0,2,0.0,9.53,5,2,0,0,0,0,17.0,24,18,18,6,8,0,20,1,0,0,83,44.0,6.99,1.882,12.7,3.2,4.2,10.6,2.5
Ryan Zeferjahn,2024,26,LAA,AL,0.5,0,0,,2.12,12,0,4,0,0,0,17.0,7,4,4,0,6,1,18,2,0,0,64,202.0,2.46,0.765,3.7,0.0,3.2,9.5,3.0
Dallas Keuchel*,2024,36,MIL,NL,0.0,0,0,,5.4,4,4,0,0,0,0,16.2,23,10,10,3,8,0,11,0,0,0,79,77.0,5.63,1.86,12.4,1.6,4.3,5.9,1.38
Alex Cobb,2024,36,CLE,AL,0.3,2,1,0.667,2.76,3,3,0,0,0,0,16.1,14,7,5,1,3,0,10,0,0,0,62,149.0,3.29,1.041,7.7,0.6,1.7,5.5,3.33
Matt Sauer,2024,25,KCR,AL,-0.2,0,0,,7.71,14,0,8,0,0,0,16.1,23,14,14,3,11,0,9,1,0,1,84,54.0,6.66,2.082,12.7,1.7,6.1,5.0,0.82
Josh Sborz,2024,30,TEX,AL,0.0,2,2,0.5,3.86,17,0,3,0,0,0,16.1,16,8,7,1,4,0,17,0,0,2,69,102.0,2.61,1.224,8.8,0.6,2.2,9.4,4.25
Yosver Zulueta,2024,26,CIN,NL,0.1,0,0,,4.96,12,0,6,0,0,0,16.1,15,10,9,2,7,0,20,1,0,1,69,91.0,3.78,1.347,8.3,1.1,3.9,11.0,2.86
José Cuas,2024,30,2TM,2LG,-0.5,0,0,,7.71,13,0,3,0,0,0,16.1,19,15,14,4,10,1,17,5,0,2,83,54.0,7.02,1.776,10.5,2.2,5.5,9.4,1.7
José Cuas,2024,30,CHC,NL,-0.4,0,0,,7.43,9,0,2,0,0,0,13.1,16,12,11,3,6,0,14,3,0,2,65,55.0,6.02,1.65,10.8,2.0,4.1,9.5,2.33
José Cuas,2024,30,TOR,AL,-0.1,0,0,,9.0,4,0,1,0,0,0,3.0,3,3,3,1,4,1,3,2,0,0,18,51.0,11.5,2.333,9.0,3.0,12.0,9.0,0.75
Shaun Anderson,2024,29,2TM,2LG,-0.6,0,2,0.0,8.27,6,2,3,0,0,0,16.1,34,19,15,3,1,0,10,1,0,2,85,53.0,4.7,2.143,18.7,1.7,0.6,5.5,10.0
Shaun Anderson,2024,29,TEX,AL,0.0,0,0,,5.4,2,0,1,0,0,0,3.1,6,2,2,0,1,0,3,0,0,0,17,80.0,2.27,2.1,16.2,0.0,2.7,8.1,3.0
Shaun Anderson,2024,29,MIA,NL,-0.6,0,2,0.0,9.0,4,2,2,0,0,0,13.0,28,17,13,3,0,0,7,1,0,2,68,49.0,5.32,2.154,19.4,2.1,0.0,4.8,
Cole Sulser,2024,34,2TM,2LG,0.4,1,0,1.0,2.76,10,2,2,0,0,0,16.1,9,5,5,1,9,1,15,0,0,0,66,150.0,3.78,1.102,5.0,0.6,5.0,8.3,1.67
Cole Sulser,2024,34,NYM,NL,-0.2,0,0,,9.64,4,0,1,0,0,0,4.2,6,5,5,1,3,0,7,0,0,0,23,43.0,4.88,1.929,11.6,1.9,5.8,13.5,2.33
Cole Sulser,2024,34,TBR,AL,0.7,1,0,1.0,0.0,6,2,1,0,0,0,11.2,3,0,0,0,6,1,8,0,0,0,43,,3.34,0.771,2.3,0.0,4.6,6.2,1.33
Tristan Beck,2024,28,SFG,NL,0.5,0,0,,1.69,7,1,2,0,0,0,16.0,14,3,3,2,4,0,14,1,0,0,67,236.0,3.98,1.125,7.9,1.1,2.3,7.9,3.5
Mike Clevinger,2024,33,CHW,AL,-0.1,0,3,0.0,6.75,4,4,0,0,0,0,16.0,22,13,12,4,9,1,15,0,0,2,78,63.0,6.23,1.938,12.4,2.3,5.1,8.4,1.67
Yency Almonte,2024,30,CHC,NL,0.1,1,0,1.0,3.45,17,0,2,0,0,1,15.2,9,7,6,1,8,1,20,2,0,1,67,118.0,3.36,1.085,5.2,0.6,4.6,11.5,2.5
José Cisnero,2024,35,LAA,AL,-0.4,0,0,,6.89,15,0,3,0,0,0,15.2,18,15,12,4,8,0,17,2,0,3,74,62.0,6.23,1.66,10.3,2.3,4.6,9.8,2.13
Grant Holman,2024,24,OAK,AL,0.2,1,1,0.5,4.02,18,0,5,0,0,0,15.2,17,8,7,1,9,1,16,1,0,1,73,100.0,3.87,1.66,9.8,0.6,5.2,9.2,1.78
Brock Stewart,2024,32,MIN,AL,-0.1,0,0,,5.17,16,0,1,0,0,0,15.2,15,9,9,2,8,0,20,0,0,0,67,83.0,3.8,1.468,8.6,1.1,4.6,11.5,2.5
Alex Young*,2024,30,2TM,NL,0.3,0,0,,2.87,17,0,8,0,0,0,15.2,15,5,5,2,7,0,15,0,0,0,68,143.0,4.25,1.404,8.6,1.1,4.0,8.6,2.14
Alex Young*,2024,30,CIN,NL,0.1,0,0,,0.0,3,0,1,0,0,0,2.0,4,0,0,0,0,0,2,0,0,0,10,,1.17,2.0,18.0,0.0,0.0,9.0,
Alex Young*,2024,30,NYM,NL,0.2,0,0,,3.29,14,0,7,0,0,0,13.2,11,5,5,2,7,0,13,0,0,0,58,120.0,4.7,1.317,7.2,1.3,4.6,8.6,1.86
Elieser Hernández,2024,29,2TM,NL,-0.3,0,1,0.0,6.32,9,1,3,0,0,0,15.2,14,11,11,5,5,0,8,0,0,2,64,66.0,7.25,1.213,8.0,2.9,2.9,4.6,1.6
Elieser Hernández,2024,29,LAD,NL,-0.3,0,1,0.0,8.38,5,1,1,0,0,0,9.2,9,9,9,5,3,0,6,0,0,0,42,49.0,9.58,1.241,8.4,4.7,2.8,5.6,2.0
Elieser Hernández,2024,29,MIL,NL,0.1,0,0,,3.0,4,0,2,0,0,0,6.0,5,2,2,0,2,0,2,0,0,2,22,144.0,3.5,1.167,7.5,0.0,3.0,3.0,1.0
Tyler Wells,2024,29,BAL,AL,-0.3,0,2,0.0,5.87,3,3,0,0,0,0,15.1,18,11,10,3,3,0,13,0,0,0,67,67.0,4.6,1.37,10.6,1.8,1.8,7.6,4.33
Julian Merryweather,2024,32,CHC,NL,-0.4,1,1,0.5,6.6,15,0,4,0,0,0,15.0,18,11,11,0,9,0,14,3,0,2,74,62.0,3.7,1.8,10.8,0.0,5.4,8.4,1.56
Sammy Peralta*,2024,26,CHW,AL,0.1,0,0,,4.8,9,0,4,0,0,0,15.0,21,9,8,2,7,0,11,0,1,0,72,88.0,4.83,1.867,12.6,1.2,4.2,6.6,1.57
Tom Cosgrove*,2024,28,SDP,NL,-0.9,0,1,0.0,11.66,18,0,3,0,0,0,14.2,23,19,19,3,6,0,15,4,0,0,76,36.0,5.83,1.977,14.1,1.8,3.7,9.2,2.5
Alek Jacob,2024,26,SDP,NL,0.3,0,0,,2.45,7,0,2,0,0,0,14.2,9,4,4,1,2,0,19,2,0,0,57,171.0,2.28,0.75,5.5,0.6,1.2,11.7,9.5
Daniel Palencia,2024,24,CHC,NL,-0.2,0,1,0.0,6.14,10,0,3,0,0,1,14.2,14,11,10,0,12,0,16,1,0,0,69,66.0,3.64,1.773,8.6,0.0,7.4,9.8,1.33
Daulton Jefferies,2024,28,2TM,NL,-0.7,0,2,0.0,9.82,6,1,2,0,0,0,14.2,24,20,16,4,4,0,12,1,0,0,73,44.0,6.1,1.909,14.7,2.5,2.5,7.4,3.0
