player,year,age,team,league,war,wins,losses,win_loss_percentage,earned_run_average,games,games_started,games_finished,complete_games,shoutouts,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_by_pitch,balks,wild_pitches,batters_faced,era_plus,fip,whip,hits_per9,home_runs_per9,walks_per9,strikeouts_per9,strikeout_walk_ratio
Pete Fairbanks,2024,30,TBR,AL,0.8,3,3,0.5,3.57,46,0,36,0,0,23,45.1,36,20,18,4,17,2,44,0,1,2,185,112.0,3.5,1.169,7.1,0.8,3.4,8.7,2.59
Brant Hurter*,2024,25,DET,AL,1.2,6,1,0.857,2.58,10,1,1,0,0,0,45.1,34,13,13,4,6,0,38,0,1,0,175,159.0,3.03,0.882,6.8,0.8,1.2,7.5,6.33
Yohan Ramírez,2024,29,4TM,2LG,-1.0,0,5,0.0,6.2,38,0,11,0,0,1,45.0,49,35,31,4,17,2,45,12,1,8,208,66.0,4.25,1.467,9.8,0.8,3.4,9.0,2.65
Yohan Ramírez,2024,29,2TM,NL,-0.8,0,5,0.0,5.97,32,0,9,0,0,1,37.2,43,28,25,4,15,2,38,7,1,4,175,67.0,4.28,1.54,10.3,1.0,3.6,9.1,2.53
Yohan Ramírez,2024,29,2TM,AL,-0.2,0,0,,7.36,6,0,2,0,0,0,7.1,6,7,6,0,2,0,7,5,0,4,33,58.0,4.12,1.091,7.4,0.0,2.5,8.6,3.5
Yohan Ramírez,2024,29,NYM,NL,-0.2,0,1,0.0,7.56,5,0,1,0,0,0,8.1,11,7,7,1,4,1,11,0,1,3,41,53.0,3.53,1.8,11.9,1.1,4.3,11.9,2.75
Yohan Ramírez,2024,29,BAL,AL,-0.1,0,0,,6.0,5,0,2,0,0,0,6.0,3,4,4,0,2,0,6,3,0,3,24,68.0,3.67,0.833,4.5,0.0,3.0,9.0,3.0
Yohan Ramírez,2024,29,LAD,NL,-0.6,0,4,0.0,5.52,27,0,8,0,0,1,29.1,32,21,18,3,11,1,27,7,0,1,134,73.0,4.5,1.466,9.8,0.9,3.4,8.3,2.45
Yohan Ramírez,2024,29,BOS,AL,-0.2,0,0,,13.5,1,0,0,0,0,0,1.1,3,3,2,0,0,0,1,2,0,1,9,39.0,6.17,2.25,20.3,0.0,0.0,6.8,
Chris Martin,2024,38,BOS,AL,0.2,3,1,0.75,3.45,45,0,9,0,0,2,44.1,47,22,17,5,3,1,50,3,0,2,180,122.0,2.78,1.128,9.5,1.0,0.6,10.2,16.67
Steven Matz*,2024,33,STL,NL,-0.2,1,2,0.333,5.08,12,7,2,0,0,0,44.1,49,28,25,7,15,1,33,2,0,1,190,82.0,4.88,1.444,9.9,1.4,3.0,6.7,2.2
Drew Thorpe,2024,23,CHW,AL,0.1,3,3,0.5,5.48,9,9,0,0,0,0,44.1,35,29,27,8,21,0,25,1,1,0,190,76.0,5.87,1.263,7.1,1.6,4.3,5.1,1.19
Jhony Brito,2024,26,SDP,NL,0.2,1,2,0.333,4.12,26,0,9,0,0,0,43.2,49,23,20,4,10,1,29,0,0,1,185,100.0,3.72,1.351,10.1,0.8,2.1,6.0,2.9
Jacob Latz*,2024,28,TEX,AL,0.3,2,3,0.4,3.71,46,0,9,0,0,0,43.2,39,20,18,6,27,3,40,1,0,4,192,105.0,5.04,1.511,8.0,1.2,5.6,8.2,1.48
Daniel Lynch IV*,2024,27,KCR,AL,0.9,2,0,1.0,3.32,16,3,3,0,0,1,43.1,29,17,16,6,14,0,39,4,0,0,174,124.0,4.41,0.992,6.0,1.2,2.9,8.1,2.79
Max Scherzer,2024,39,TEX,AL,0.4,2,4,0.333,3.95,9,9,0,0,0,0,43.1,40,20,19,7,10,0,40,1,0,2,177,99.0,4.18,1.154,8.3,1.5,2.1,8.3,4.0
Jonathan Hernández,2024,27,2TM,AL,-0.4,3,1,0.75,5.4,29,1,10,0,0,0,43.1,41,28,26,6,28,1,39,1,0,2,192,73.0,5.17,1.592,8.5,1.2,5.8,8.1,1.39
Jonathan Hernández,2024,27,TEX,AL,-0.3,3,1,0.75,5.05,26,1,8,0,0,0,41.0,39,25,23,6,26,1,36,1,0,2,181,77.0,5.29,1.585,8.6,1.3,5.7,7.9,1.38
Jonathan Hernández,2024,27,SEA,AL,-0.1,0,0,,11.57,3,0,2,0,0,0,2.1,2,3,3,0,2,0,3,0,0,0,11,38.0,3.17,1.714,7.7,0.0,7.7,11.6,1.5
DL Hall*,2024,25,MIL,NL,-0.2,1,2,0.333,5.02,13,7,2,0,0,0,43.0,48,26,24,6,21,0,44,4,0,1,197,81.0,4.68,1.605,10.0,1.3,4.4,9.2,2.1
Porter Hodge,2024,23,CHC,NL,1.3,3,1,0.75,1.88,39,0,17,0,0,9,43.0,19,10,9,2,19,0,52,1,0,1,164,213.0,2.75,0.884,4.0,0.4,4.0,10.9,2.74
